"","ukr","en","","","NOTES – use \n for newline","max length"
"item_die_good","You're extremely lucky!","You're extremely lucky!","","","",""
"item_die","Chaos die","Chaos die","","","",""
"itemdesc_die","Roll it for various prizes!","Roll it for various prizes!","","","",""
"itempickup_open","Natysnitj $0, ŝob vidkryty '$1'","Press $0 to open '$1'","","","",""
"itempickup_orb","Vy znajšly sferu istynnyx znanj","You discovered an orb of true Knowledge","","","",""
"itempickup_orb_evil","Vy znajšly sferu prokljatyx znanj","You discovered an orb of corrupted Knowledge","","","",""
"itempickup_orb_discovered","Vy znajšly znajomu sferu istynnyx Znanj","You found a familiar orb of true Knowledge","","","",""
"itempickupdesc_orb_discovered","You're rewarded with additional health","You're rewarded with additional health","","","",""
"itempickupdesc_orb_00","Secrets of endless lava have been unlocked to you.","Secrets of endless lava have been unlocked to you.","","","",""
"itempickupdesc_orb_01","Secrets of Earth's anger have been unlocked to you.","Secrets of Earth's anger have been unlocked to you.","","","",""
"itempickupdesc_orb_02","Secrets of otherworldly life have been unlocked to you.","Secrets of otherworldly life have been unlocked to you.","","","",""
"itempickupdesc_orb_03","Secrets of utter destruction have been unlocked to you.","Secrets of utter destruction have been unlocked to you.","","","",""
"itempickupdesc_orb_04","Secrets of Undeath have been unlocked to you.","Secrets of Undeath have been unlocked to you.","","","",""
"itempickupdesc_orb_05","Secrets of fire and brimstone have been unlocked to you.","Secrets of fire and brimstone have been unlocked to you.","","","",""
"itempickupdesc_orb_06","Secrets of the Spiral have been unlocked to you.","Secrets of the Spiral have been unlocked to you.","","","",""
"itempickupdesc_orb_07","Secrets of stormy skies have been unlocked to you.","Secrets of stormy skies have been unlocked to you.","","","",""
"itempickupdesc_orb_08","Secrets of jubilation have been unlocked to you.","Secrets of jubilation have been unlocked to you.","","","",""
"itempickupdesc_orb_09","Secrets of hidden danger have been unlocked to you.","Secrets of hidden danger have been unlocked to you.","","","",""
"itempickupdesc_orb_10","Secrets of rebuilding have been unlocked to you.","Secrets of rebuilding have been unlocked to you.","","","",""
"itempickupdesc_orb_11","This secret should not have been available for you.","This secret should not have been available for you.","","","",""
"itempickupdesc_orb_13","Secrets of great undoing have been unlocked to you.","Secrets of great undoing have been unlocked to you.","","","",""
"menu_mods","Modyfikaciï","Mods","","","",""
"menu_mods_availablemods","Dostupni modyfikaciï","Available mods","","","",""
"menu_mods_availablemods_none","Modyfikacij ne vstanovleno","No mods installed","","","",""
"menu_mods_enabled","Uvimkneno","Enabled","","","",""
"menu_mods_moveup","Vverx","Move up","","","",""
"menu_mods_movedown","Vnyz","Move down","","","",""
"menu_mods_help_exp","Ce eksperymentaljna funkcija.\nVykorystovujte na svij strax i ryzyk. Zapuskajte modyfikaciï lyše z perevirenyx džerel!\nModyfikaciï, ŝo stojatj vyŝe, budutj zavantažuvatysja peršymy.\nKlacnitj na nazvu moda, ŝob uvimknuty/vymknuty joğo.","This is an experimental feature.\nUse at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.","","","",""
"menu_mods_help","Vykorystovujte modyfikaciï na svij strax i ryzyk. Zapuskajte modyfikaciï tiljky z perevirenyx džerel!\nModyfikaciï, ŝo stojatj vyŝe, budutj zavantažuvatysja peršymy.\nKlacnitj na nazvu modyfikaciï, ŝob uvimknuty/vymknuty ïï.","Use mods at your own risk. Only run mods from trusted sources!\nUpmost enabled mod will be loaded first.\nClick mod name to enable/disable the mod.","","","",""
"menu_mods_help_paused","Zminy naberutj čynnosti pislja nastupnoğo perezapusku.","Changes will be applied on next restart.","","","",""
"menu_mods_openmodfolder","Vidkryty teku modyfikacij","Open mod folder","","","",""
"menu_mods_restart","Perezapustyty z uvimknenymy modyfikacijamy","Restart with enabled mods active","","","",""
"menu_mods_restart_tooltip","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.","Warning: some mods may not handle enabling/disabling ingame well - weirdness, bugs or crashes may occur.","","","",""
"menu_mods_newgame","Počaty novu ğru z aktyvnymy modyfikacijamy","Start a new game with enabled mods active","","","",""
"menu_mods_refresh","Onovyty","Refresh","","","",""
"menu_mods_reenablenotificiation","This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.","This version changes how mods behave.\nMods need to be re-enabled via the “Mods” menu.","","","",""
"menu_mods_extraprivilegesareyousure","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?","This mod has requested extra privileges.\nIf enabled, it has full access to your computer,\neven without using possible exploits in the game code.\nAre you sure you want to trust this mod?","","","",""
"menu_mods_extraprivilegesnotification","This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.","This mod has requested extra privileges.\nUnsafe mods need to be enabled to run this mod.","","","",""
"menu_mods_workshopsandboxnotification","Workshop mods cannot be enabled while unsafe mods are on.","Workshop mods cannot be enabled while unsafe mods are on.","","","",""
"menu_mods_enablinginvalid","This mod is broken and cannot be enabled [Error code #N0174H4X].","This mod is broken and cannot be enabled [Error code #N0174H4X].","","","",""
"menu_mods_sandboxoffareyousure","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","","","",""
"menu_mods_sandboxoffareyousure_steam","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","Enabling unsafe mods gives all installed mods full access to your computer.\nAre you sure?","","","",""
"menu_mods_sandboxoption","Nebezpečni modyfikaciï: $0","Unsafe mods: $0","","","",""
"menu_mods_initerrors_title","Errors occurred while initializing mods:","Errors occurred while initializing mods:","","","",""
"menu_mods_customactivation","\nPlay this mod via the “New game” menu.","\nPlay this mod via the “New game” menu.","","","",""
"menu_mods_translationactivation","\nUvimknitj cej pereklad čerez vkladku ""Movy"" v menju ""Nalaštuvannja"".","\nEnable this translation via “Language” in the “Options” menu.","","","",""
"menu_mods_nameconflict","Nemožlyvo aktyvuvaty dekiljka modyfikacij z identyfikatorom ""$0"".","Cannot enable multiple mods with the id “$0”.","","","",""
"menu_mods_installmods","Zavantažyty mody","Get mods","","","",""
"menu_mods_installmods_steam","Vstanovyty modyfikaciï z Majsterni Steam","Install mods using Workshop","","","",""
"menu_mods_workshopdownloading","Zavantažennja vmistu Majsterni $0","Downloading Workshop content $0","","","",""
"menu_mods_workshop_mod_tooltip","Ce mod z Majsterni Steam.","This is a Steam Workshop mod.","","","",""
"menu_mods_disclaimernotification_exp","Ce eksperymentaljna funkcija.\nVykorystovujte na svij strax i ryzyk!\nVam varto zapuskaty modyfikaciï tiljky z perevirenyx džerel.","This is an experimental feature.\nUse is at your own risk!\nYou should only run mods from trusted sources.","","","",""
"menu_mods_disclaimernotification","Vykorystovujte modyfikacij na svij strax i ryzyk!\nVam varto zapuskaty modyfikaciï tiljky z perevirenyx džerel.","Use of mods is at your own risk!\nYou should only run mods from trusted sources.","","","",""
"menu_mods_initerrors_log","Vynykla pomylka pry inicializaciï nastupnyx modyfikacij: $0","There were errors when initializing following mods: $0","","","",""
"menu_mods_workshopdownloading_noprogress","Zavantažennja vmistu majsterni $0\nJakŝo zavantažennja ne maje proğresu,\nmožlyvo varto zminyty priorytet zavantaženj v biblioteci Steam.","Downloading Workshop content $0\nIf the downloads don't seem to progress,\nyou might need to change their priority in the Steam library downloads list.","","","",""
"menu_mods_modversion_older","This mod has not been tested with the latest version of the modding interface.","This mod has not been tested with the latest version of the modding interface.","","","",""
"menu_mods_modversion_newer","This mod has been built with a never version of the modding interface.\nA never version of the game might be required.","This mod has been built with a never version of the modding interface.\nA never version of the game might be required.","","","",""
"menu_mods_incompatibilities","Modyfikaciï (!)","Mods (!)","","","",""
"menu_mods_incompatibilities_tooltip","Dejaki mody majutj možlyvi nesumisnosti","Some mods have possible incompatibilities","","","",""
"option_allowed","Dozvoleno","Allowed","","","",""
"option_disabled","Vymkneno","Disabled","","","",""
"menu_newgame_selectgamemode","Vyberitj režym ğry","Select game mode","","","",""
"menu_quit","Vyjty","Quit","","","",""
"menuautosave_text","Avtozberežennja znajdeno. Sxože, ŝo ğra vyletila?\nČy povynna ğra sprobuvaty vidnovyty avtozberežennja?","Autosave found. Looks like the game crashed?\nShould the game attempt to restore the autosave?","","","",""
"menuautosave_text_mods","Dejaki mody buly uvimkneni ta, možlyvo, spryčynyly zbij.","Some mods were enabled and might have caused the crash.","","","",""
"menuautosave_text_earlyaccess","Noita znaxodytjsja v rannjomu dostupi, my postarajemosja ce vypravyty. :/","Noita is in early access, we'll try to fix this. :/","","","",""
"menuautosave_yes","Vidnovyty","Restore","","","",""
"menuautosave_no","Ta nu joğo. Znyŝitj joğo","Nah. Destroy it","","","",""
"menuoptions_configurecontrols_hint_gamepad","Natysnitj B na kontroleri, ŝob skynuty do počatkovyx","Press B on a control to reset it to default","","","",""
"menuoptions_configurecontrols_hint_keyboard","Natysnitj pravoju knopkoju myši, ŝob skynuty do počatkovyx","Right click on a key binding to reset it to default","","","",""
"menuoptions_privacypolicy","Polityka konfidencijnosti","Privacy policy","","","",""
"menuoptions_showhoverinfonexttomouse","Show hovered material/item name next to mouse: $0","Show hovered material/item name next to mouse: $0","","","",""
"menuoptions_replayrecorder_tooltip_exp","EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","EXPERIMENTAL FEATURE\nPress $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","","","",""
"menuoptions_replayrecorder_tooltip","Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","Press $0 to save a replay at any point in the game.\n\nSetting “Replay budget” too high might decrease performance\nor make the game crash. Use at your own risk!","","","",""
"menuoptions_application_rendered_cursor_hint","Turn this on in case you can't see the mouse cursor.","Turn this on in case you can't see the mouse cursor.","","","",""
"menuoptions_general","Zağaljni","General","","","",""
"menuoptions_graphics","Ğrafika","Graphics","","","",""
"menuoptions_audio","Audio","Audio","","","",""
"menuoptions_input","Vvedennja","Input","","","",""
"menuoptions_streaming","Transljacija","Streaming","","","",""
"menuoptions_teleport_flash_brightness","Jaskravistj spalaxu teleportaciï","Teleport flash brightness","","","",""
"menuoptions_gamepaddetected","Kontroler vyjavleno!\nUvimknitj kontrolery čerez vkladku ""Vvedennja"".","Gamepad detected!\nEnable gamepads via the Input tab.","","","",""
"menuoptions_replaybudget","Misce dlja povtoriv","Replay budget","","","",""
"menuoptions_heading_window","VIKNO","WINDOW","","","",""
"menuoptions_heading_replayrecorder","REPLAY RECORDER","REPLAY RECORDER","","","",""
"menuoptions_heading_misc","RIZNE","MISCELLANEOUS","","","",""
"menuoptions_heading_rendering","VIZUALIZACIJA","RENDERING","","","",""
"menuoptions_heading_userinterface_graphics","INTERFEJS KORYSTUVAČA","USER INTERFACE","","","",""
"menuoptions_heading_accessibility","DOSTUPNISTJ","ACCESSIBILITY","","","",""
